take	context_id	preview_url	voice	status
01	799aea1993804e2687904d5170773a16	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/e72545cd-17f4-43c8-9f5e-beebea463e0c.mp3	deep	ready
02	3cf9607166a841159668818966168817	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/cd05daed-d24b-46b8-9590-2061daee1874.mp3	deep	ready
03	af29f631e3e94d8d8c4e4ff535c12b3b	https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/ee120f9f-75dd-44d0-801b-6bd97ff805ae.mp3	deep	ready
